Speaker,Audio_File,Recognized_Speaker,Distance,Result
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00001_14.wav,A.R.Rahman,8.200273513793945,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00002.wav,A.R.Rahman,12.84031867980957,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00003_1.wav,John_Abraham,9.024230003356934,0
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00002_11.wav,A.R.Rahman,7.059830188751221,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00006_1.wav,A.R.Rahman,15.194634437561035,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00005_2.wav,A.R.Rahman,10.345946311950684,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00006_4.wav,A.R.Rahman,14.657392501831055,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00010_3.wav,A.R.Rahman,9.603800773620605,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00008_1.wav,A.R.Rahman,16.6859188079834,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00022.wav,A.R.Rahman,9.4037504196167,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00024.wav,Shahid_Kapoor,10.087479591369629,0
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00007_3.wav,A.R.Rahman,8.032240867614746,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00023.wav,A.R.Rahman,9.495624542236328,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00010_4.wav,A.R.Rahman,9.769896507263184,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00009_2.wav,A.R.Rahman,9.471465110778809,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00002_6.wav,Aamir_Khan,10.084371566772461,0
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00033.wav,A.R.Rahman,16.03508758544922,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00013.wav,A.R.Rahman,14.446821212768555,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00003_8.wav,A.R.Rahman,8.72656536102295,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00007_5.wav,A.R.Rahman,8.27967643737793,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00003_2.wav,A.R.Rahman,12.591264724731445,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00001_6.wav,A.R.Rahman,9.546438217163086,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00025_1.wav,A.R.Rahman,9.913069725036621,1
A.R.Rahman,D:\Voice Authetication ESPNET\datasetvox\vox1_indian\content\vox_indian\id10002\00003_4.wav,A.R.Rahman,10.122763633728027,1
